me,me_eng,symbol,type_eng,type,population,socio_economic_rank,peripherality_rank,distance_tlv,district_eng,district,class_size,bagrut,teacher_student_ratio,income,percent_arab,diabetes,cancer_men,cancer_women,voting_rate_knesset_2021,voting_rate_knesset_2022,voting_rate_municipalities_2018,budget_income,budget_income_per_resident,arno_tax_collection_rate
אבו סנאן,Abu Sin,473,local municipality,מועצה מקומית,14687,3,4,105.3,North,הצפון,24,79.5,9.2,8372,99.8,76.3,,,53.1,53.1,85.1,"97,872","6,771",56
אבן יהודה,Even Yehuda,182,local municipality,מועצה מקומית,14365,9,7,14.5,Center,המרכז,27,91.3,14.5,18465,0,45.2,,,74.5,74.5,56.1,"88,843","6,227",87
אורנית,Oranit,3760,local municipality,מועצה מקומית,9295,8,6,15.2,Yosh,אזור יהודה והשומרון,27,91.8,12.9,16298,0,,,,76,76,76.1,"62,566","6,865",82
אזור,Azor,565,local municipality,מועצה מקומית,13593,7,9,0,Tel Aviv,תל אביב,28,82.4,13.7,11692,0,52.4,,,66.1,66.1,62.4,"100,272","7,442",92
אכסאל,Iksal,478,local municipality,מועצה מקומית,15336,3,4,85.3,North,הצפון,26,67.1,11,8572,99.9,103.8,,,42.8,42.8,90.6,"93,043","6,143",40
אליכין,Elyakhin,41,local municipality,מועצה מקומית,3462,7,6,30.3,Center,המרכז,24,66.7,10.4,10422,0,,,,73.8,73.8,80.9,"28,121","8,125",82
אלפי מנשה,Alfe Meshe,3750,local municipality,מועצה מקומית,7975,8,6,18.2,Yosh,אזור יהודה והשומרון,27,85.6,11.9,14130,0,,,,73.4,73.4,71.9,"63,821","8,012",83
אלקנה,Elqa,3560,local municipality,מועצה מקומית,4301,8,6,17.4,Yosh,אזור יהודה והשומרון,28,86.7,9.7,13700,0,,,,81.2,81.2,75.9,"39,355","9,665",91
אעבלין,I'billin,529,local municipality,מועצה מקומית,13843,3,5,90.5,North,הצפון,28,75,10.4,8025,99.9,81.3,,,49.7,49.7,89.5,"77,127","5,633",21
אפרת,Efrat,3650,local municipality,מועצה מקומית,11853,7,5,66.1,Yosh,אזור יהודה והשומרון,25,88.7,9,12816,0,37.5,,,74.4,74.4,64.1,"113,158","9,586",99
